51048 4
2000	2004	105	150000
3699	2002	231	150000
6900	2008	99	60000
18000	2007	218	20000
3500	2004	122	150000
7500	2002	306	150000
12500	2006	231	150000
6990	2007	95	100000
7999	2007	177	150000
7999	2008	143	150000
7499	2004	232	150000
7000	2006	105	100000
6600	2006	105	150000
20300	2010	204	80000
3850	2003	131	150000
23490	2013	143	40000
6500	2004	163	150000
7300	2009	235	100000
6300	2002	265	150000
5950	2006	163	150000
7000	2003	120	150000
1750	2002	75	125000
14499	2007	170	125000
4300	2005	90	150000
2499	2003	110	150000
3450	2007	120	150000
6890	2003	170	125000
11000	2012	131	70000
14300	2011	120	60000
14000	2008	235	150000
13400	2008	170	100000
11299	2006	250	150000
10500	2010	143	150000
8500	2010	80	50000
14900	2007	265	150000
11800	2005	218	150000
2800	2004	75	100000
15700	2011	170	90000
9800	2008	140	150000
14700	2012	211	60000
8000	2006	177	150000
6799	2002	286	150000
9500	2012	69	50000
5500	2004	90	150000
4800	2004	75	80000
6799	2008	174	90000
2650	2004	125	150000
7150	2002	150	150000
7950	2008	140	150000
7700	2009	185	150000
5750	2010	90	100000
8700	2004	170	150000
13849	2010	143	80000
2450	2001	231	150000
6250	2003	299	150000
6500	2007	125	125000
1750	2002	125	150000
7000	2007	143	150000
3600	2003	147	125000
7750	2009	80	125000
10550	2012	105	60000
17500	2013	122	40000
8450	2010	95	70000
3850	2004	82	125000
3400	2002	193	150000
4000	2004	203	150000
1750	2002	150	150000
2990	2001	82	70000
5500	2007	80	125000
2350	2003	143	150000
8500	2003	300	150000
6700	2009	95	70000
29980	2013	150	50000
43900	2013	245	40000
14500	2009	160	70000
4300	2007	90	150000
11500	2010	170	150000
2990	2006	105	150000
15200	2007	320	150000
5500	2006	90	80000
7900	2009	170	150000
14650	2014	86	20000
5800	2006	102	125000
9900	2008	170	125000
28900	2010	239	125000
3999	2003	102	150000
9499	2008	136	150000
9099	2004	280	125000
3000	2002	116	90000
13980	2006	231	150000
3499	2004	140	30000
7199	2009	140	150000
16299	2010	239	150000
11800	2001	260	150000
11900	2007	179	150000
6000	2009	177	125000
4499	2005	140	150000
7800	2006	104	150000
2900	2002	116	150000
1999	2004	136	150000
4500	2007	90	150000
12999	2002	306	90000
11850	2011	95	60000
5950	2003	131	100000
2650	2006	105	150000
2990	2002	116	30000
16000	2010	170	90000
3499	2004	75	150000
1699	2003	102	150000
13800	2005	333	150000
6999	2010	186	125000
11500	2006	129	90000
21999	2013	170	100000
12800	2010	140	80000
3100	2004	101	150000
5500	2003	163	150000
5000	2006	185	125000
13500	2007	218	150000
6490	2008	120	70000
4550	2003	105	150000
